"Id";"Designator";"Footprint";"Quantity";"DigiKey Part Number";"Manufacturer Product Number";
1;"J21,J7,J8,J10,J14,J22,J11,J12,J1,J20,J5,J18,J2,J3,J6,J17,J4,J24,J23,J9,J16,J19,J13,J15";"PinHeader_1x01_P2.53mm_Vertical";24;"ED10089-ND";"0859-0-15-20-82-14-11-0";
2;"J25";"PinSocket_2x12_P2.54mm_Horizontal";1;"S5526-ND";"PPTC122LJBN-RC";
